Trade Date,Index Value,High,Low,Total Market Value,Dividend Market Value
2018-08-16,7374.29,0.0,0.0,0.0,0.0
2018-08-15,7354.66,0.0,0.0,0.0,0.0
2018-08-14,7447.17,0.0,0.0,0.0,0.0
2018-08-13,7401.17,0.0,0.0,0.0,0.0
2018-08-10,7408.3,0.0,0.0,0.0,0.0
2018-08-09,7466.96,0.0,0.0,0.0,0.0
2018-08-08,7469.54,0.0,0.0,0.0,0.0
2018-08-07,7462.65,0.0,0.0,0.0,0.0
2018-08-06,7438.99,0.0,0.0,0.0,0.0
2018-08-03,7395.49,0.0,0.0,0.0,0.0
2018-08-02,7372.15,0.0,0.0,0.0,0.0
2018-08-01,7272.89,0.0,0.0,0.0,0.0
2018-07-31,7231.98,0.0,0.0,0.0,0.0
2018-07-30,7193.1,0.0,0.0,0.0,0.0
2018-07-27,7296.78,0.0,0.0,0.0,0.0
2018-07-26,7400.75,0.0,0.0,0.0,0.0
2018-07-25,7508.59,0.0,0.0,0.0,0.0
2018-07-24,7406.25,0.0,0.0,0.0,0.0
2018-07-23,7371.78,0.0,0.0,0.0,0.0
2018-07-20,7350.23,0.0,0.0,0.0,0.0
2018-07-19,7352.36,0.0,0.0,0.0,0.0
2018-07-18,7390.13,0.0,0.0,0.0,0.0
2018-07-17,7403.89,0.0,0.0,0.0,0.0
2018-07-16,7357.9,0.0,0.0,0.0,0.0
2018-07-13,7375.82,0.0,0.0,0.0,0.0
2018-07-12,7366.25,0.0,0.0,0.0,0.0
2018-07-11,7243.98,0.0,0.0,0.0,0.0
2018-07-10,7282.6,0.0,0.0,0.0,0.0
